Fecha,dolar
02-01-2012,519
03-01-2012,518
04-01-2012,514
05-01-2012,512
06-01-2012,512
09-01-2012,510
10-01-2012,512
11-01-2012,509
12-01-2012,507
13-01-2012,501
16-01-2012,502
17-01-2012,501
18-01-2012,497
19-01-2012,497
20-01-2012,492
23-01-2012,492
24-01-2012,488
25-01-2012,493
26-01-2012,494
27-01-2012,486
30-01-2012,485
31-01-2012,489
01-02-2012,489
02-02-2012,488
03-02-2012,484
06-02-2012,479
07-02-2012,481
08-02-2012,480
09-02-2012,477
10-02-2012,475
13-02-2012,478
14-02-2012,478
15-02-2012,483
16-02-2012,483
17-02-2012,487
20-02-2012,484
21-02-2012,482
22-02-2012,482
23-02-2012,484
24-02-2012,481
27-02-2012,479
28-02-2012,481
29-02-2012,477
01-03-2012,476
02-03-2012,481
05-03-2012,484
06-03-2012,485
07-03-2012,490
08-03-2012,492
09-03-2012,485
12-03-2012,483
13-03-2012,485
14-03-2012,485
15-03-2012,486
16-03-2012,485
19-03-2012,481
20-03-2012,483
21-03-2012,486
22-03-2012,485
23-03-2012,488
26-03-2012,490
27-03-2012,486
28-03-2012,486
29-03-2012,489
30-03-2012,490
02-04-2012,487
03-04-2012,486
04-04-2012,482
05-04-2012,484
09-04-2012,485
10-04-2012,486
11-04-2012,487
12-04-2012,487
13-04-2012,484
16-04-2012,485
17-04-2012,487
18-04-2012,486
19-04-2012,487
20-04-2012,489
23-04-2012,486
24-04-2012,490
25-04-2012,487
26-04-2012,487
27-04-2012,485
30-04-2012,483
02-05-2012,485
03-05-2012,485
04-05-2012,482
07-05-2012,482
08-05-2012,483
09-05-2012,486
10-05-2012,490
11-05-2012,486
14-05-2012,488
15-05-2012,491
16-05-2012,497
17-05-2012,501
18-05-2012,504
22-05-2012,504
23-05-2012,505
24-05-2012,510
25-05-2012,508
28-05-2012,511
29-05-2012,510
30-05-2012,512
31-05-2012,518
01-06-2012,520
04-06-2012,520
05-06-2012,516
06-06-2012,512
07-06-2012,508
08-06-2012,502
11-06-2012,504
12-06-2012,502
13-06-2012,504
14-06-2012,502
15-06-2012,501
18-06-2012,499
19-06-2012,501
20-06-2012,495
21-06-2012,497
22-06-2012,500
25-06-2012,504
26-06-2012,508
27-06-2012,509
28-06-2012,505
29-06-2012,510
03-07-2012,502
04-07-2012,496
05-07-2012,496
06-07-2012,496
09-07-2012,499
10-07-2012,497
11-07-2012,493
12-07-2012,493
13-07-2012,494
17-07-2012,490
18-07-2012,489
19-07-2012,488
20-07-2012,486
23-07-2012,488
24-07-2012,493
25-07-2012,493
26-07-2012,492
27-07-2012,486
30-07-2012,484
31-07-2012,483
01-08-2012,482
02-08-2012,483
03-08-2012,485
06-08-2012,481
07-08-2012,479
08-08-2012,477
09-08-2012,477
10-08-2012,475
13-08-2012,478
